Source;Target
BUM3;UFYW
UXRJ;B8W2
UXRJ;OZO6
UXRJ;GWYA
UXRJ;KKFH
UXRJ;SHSS
UXRJ;XONO
G1TW;GWWU
G1TW;BNVP
HGSA;M6HI
HGSA;R5W3
HGSA;L0BM
HGSA;RMMJ
HGSA;Q7R7
HGSA;YFBY
PRXW;BPT9
PRXW;DZVS
PRXW;YJBW
PRXW;P1B0
QPX2;IHFX
QPX2;GVL0
QPX2;FEB0
QPX2;B7RG
QPX2;K7Z2
QPX2;BKD7
QPX2;IYS3
QPX2;H7YT
L6EP;HCVP
TOMD;C8WL
TOMD;Z4O3
TOMD;ONTA
TOMD;YAHQ
RTL1;IKLU
RTL1;L4I8
RTL1;S0AG
RTL1;OGRH
RTL1;HCVP
RTL1;XUAS
RTL1;SGZ4
RTL1;KUHW
V1A5;GZS0
V1A5;DSR4
V1A5;IFMS
V1A5;NNH6
FCK8;Z8WR
FCK8;MRRM
RYC5;DNJ6
RYC5;RDW8
RYC5;XVFG
RYC5;JNYX
RYC5;CZXI
RYC5;NVJM
RYC5;W5VS
RYC5;COUR
RYC5;XBUE
RYC5;PEJC
RYC5;WNB2
RYC5;NRZZ
KGCB;L1DK
KGCB;JHBL
KGCB;CMSS
KGCB;YJYB
Z0KD;Y6MG
Z0KD;CDYQ
Z0KD;H9AT
Z0KD;L0RY
UTC9;ZBHC
UTC9;G0KC
UTC9;ULOB
UTC9;OKZW
UTC9;NSF9
RKW5;JDDN
N8X5;O4LV
N8X5;B4V3
HAYO;HACZ
WLXI;DQOV
WLXI;F1SA
WLXI;BCFO
WLXI;YEHO
CRNX;MOCK
CRNX;FUU0
CRNX;WEF9
CRNX;O8UB
CRNX;GZS0
JJW3;AZGW
JJW3;IMHL
JJW3;I5WJ
JJW3;X6FV
WACU;VUBK
H5G2;UKYY
RJDC;XAAM
RJDC;ZRUM
X0UI;N8WD
X0UI;N2XI
VZI2;G6YC
VZI2;JSRU
MEWG;BKBF
FXLG;A9R3
FXLG;PIRB
FXLG;U3CR
FXLG;CCW7
FXLG;VSIS
CQCD;LTGU
CQCD;H5GB
CQCD;H4RA
CQCD;WQPN
CQCD;EAKD
CQCD;ECRR
CMD3;IVUL
CMD3;DXZP
CMD3;QAU3
CMD3;HQHB
CDW7;UYP2
QIUY;FSAR
QIUY;SVOR
QIUY;INPD
SLNT;J4PC
SLNT;JLXO
GEQS;EHKM
GEQS;MVSQ
GEQS;O9QQ
GEQS;E3SD
GEQS;VLO6
GEQS;AOGK
JZGD;B3N2
JZGD;KBW9
WVZI;CYGP
WVZI;R6ET
WVZI;NSF3
WVZI;L0BM
SXOM;RDAI
SXOM;MAN2
SXOM;QOIJ
LCCR;BEG6
LCCR;AALZ
K5IW;VCF5
K5IW;GASN
K5IW;J5WG
X3MT;NCAN
X3MT;YJI0
ZOVN;APEF
ZOVN;QVQ2
BPT9;DZVS
BPT9;P1B0
BPT9;JZPT
BPT9;FUHW
BPT9;ODLW
BPT9;S8H7
BPT9;B8SB
BPT9;N9BJ
CFET;VUIZ
CFET;ZSR4
A2FQ;NPRS
A2FQ;DEZM
A2FQ;BCA8
A2FQ;P2VS
A2FQ;S7OC
NVNG;TCDB
NVNG;U0V8
NVNG;FLQV
ZPMW;OIS2
ZPMW;EAL6
ZPMW;ONLK
ZPMW;LOBH
ZPMW;W6C7
ZPMW;PYIC
ZPMW;B4V3
B0S3;B3N2
LJVA;Y1ZR
LJVA;QJUE
YJG3;PZJT
BKKJ;UGFM
BKKJ;HHNO
CFDM;ASOU
CFDM;P0WC
CFDM;Q2XN
CFDM;RFP2
V1XI;CMSS
V1XI;X9RU
V1XI;QOIJ
V1XI;TSAU
M3L2;U4OW
XONO;U0V8
XONO;QOIJ
XONO;E1IK
XONO;C9NB
XONO;QGLC
XONO;U4OW
XONO;YWK9
XONO;PKVO
XONO;GNJ1
XONO;MVXR
XONO;KJXT
XONO;GWYA
DQEK;QDBU
JURF;PMA5
JURF;V0R5
JURF;VUB7
JURF;PSKW
JURF;W6JA
JURF;MOCK
JURF;RKY5
JURF;QTMI
JURF;O8UB
JURF;DJF2
UPFL;XEGK
UPFL;J7IB
UPFL;VOXJ
UPFL;BHQF
B7OV;YJYB
B7OV;DSXJ
CJL1;LUQU
CJL1;BPWT
CJL1;U9TZ
IAZM;H3WS
IAZM;BWC1
CVER;RLWX
CVER;ZYJH
CVER;VYWB
CVER;C5RU
CVER;IJHA
CVER;YTI7
CVER;Y7RG
CVER;YJI0
PMH8;ZWL5
PMH8;IXUO
PWXA;GJNF
PWXA;GCUX
PWXA;SZDH
U2VT;YEG1
U2VT;KGIW
U2VT;FSD4
U2VT;X8ZB
U2VT;GJNF
U2VT;VBQ0
U2VT;CEYR
U2VT;ERZB
U2VT;PZJT
MWL4;S2GY
MWL4;V1XN
MWL4;KELM
MWL4;QFS8
IPMR;L9TA
IPMR;G9Y8
BAGI;TUST
IAVW;YPFZ
IAVW;ITWD
IAVW;N2XI
IAVW;CAMO
IAVW;XYOR
IAVW;G8ZA
L1A9;DLQW
L1A9;NUO2
F4ZA;Z4KY
F4ZA;QHHJ
F4ZA;IADR
F4ZA;XVN5
F4ZA;M4YD
F4ZA;NCV0
F4ZA;R2D9
F4ZA;YSGI
F4ZA;DQC9
F4ZA;IGHU
F4ZA;G0VU
F4ZA;BHEH
F4ZA;KQC9
BCA8;NPRS
BCA8;DEZM
BCA8;S7OC
BCA8;P2VS
SKKF;UUIV
K4C4;YWCZ
KKDS;J1C5
KKDS;J6VA
KKDS;UCVS
KKDS;JXS1
V4WW;TZOD
XATC;NKEL
XATC;H1W5
XATC;K6R9
XATC;W1TL
CLJQ;E4U3
CLJQ;X6IX
CLJQ;RVUI
CLJQ;HAWG
S3TH;OLJE
S3TH;OYP0
S3TH;CQZK
S3TH;QPTN
S3TH;WVKF
DQOV;BCFO
DQOV;KYYW
DQOV;U3W0
DQOV;A9PJ
DQOV;ZDXR
DQOV;E2RS
XBJO;UDFY
XBJO;RNUQ
XBJO;MRLB
XBJO;JSRU
XBJO;S1H8
Q9ZT;RUPA
Q9ZT;ORBM
B8RL;N7QC
B8RL;J9HO
X7VY;GRJP
CXL3;DDCU
CXL3;MOXB
CXL3;Q2R5
CXL3;THK3
CXL3;KSSP
P2VS;NPRS
P2VS;DEZM
P2VS;JECX
P2VS;S7OC
PGIU;KYLY
BSUD;OFYU
BSUD;T8S5
BSUD;HPH0
BSUD;UTRK
BSUD;JXKG
BSUD;IFGM
BSUD;XJFB
BSUD;BEG6
BSUD;K2CK
RDAI;B6LY
RDAI;C4YM
RDAI;SHYM
RDAI;HKKN
RDAI;HRXX
HZV7;BHXI
HZV7;GQRK
HZV7;Z8TT
HZV7;JMZ8
HZV7;C6ID
HZV7;HUC1
F8WY;SUGE
F8WY;W3EU
F8WY;MBJ8
JDDN;CVSU
JDDN;P6Z5
JDDN;XHU3
JDDN;HRWN
JDDN;X1HM
JDDN;CUY9
JDDN;OYWT
JDDN;ZABU
JDDN;SUJI
JDDN;X9PY
JDDN;U2LA
JDDN;P1OI
NZS5;X4FK
NZS5;P9RG
NVUS;XVA4
NVUS;IRZC
LHD4;LKVP
WCZ9;UFYB
WCZ9;PVR6
WCZ9;R7U0
WCZ9;OLHR
WCZ9;GCRT
OIP7;KBW9
CXGV;LQHR
E3A8;PQU9
E3A8;R8OZ
E3A8;I8YK
E3A8;G9VP
E3A8;TTQQ
E3A8;AHD1
O9QQ;EHKM
O9QQ;E3SD
O9QQ;JEB2
DAH9;W8T2
DAH9;JZHC
YKCB;VUIZ
YKCB;R3IV
YKCB;VMRM
YKCB;O9SQ
YKCB;YQJU
YKCB;HUC1
YKCB;DBUV
YKCB;MXHE
YKCB;M9WW
YKCB;ZWPX
YKCB;F3TK
STII;QFNN
V0QK;HCTX
V0QK;N0SA
GJNF;UYNQ
GJNF;ZKWF
GJNF;BCFO
GJNF;FSD4
FHV7;RNFD
FHV7;O5P1
L6N4;S1H8
PSM9;PFVJ
I9BH;V1XN
I9BH;KKVH
NUW9;PTZ6
NUW9;BXW0
NUW9;E5RO
NUW9;I4Z6
RMJ4;FUU0
Z6WP;F3TK
Z6WP;STF3
UDNX;XEDS
RKH0;F1SA
DST2;SLQW
ITVF;N0PI
ITVF;DPE4
ITVF;IRU4
NQUF;BLQ6
NQUF;H7OC
NQUF;K6R9
AWYJ;XYDT
X0VN;MUWW
X0VN;XRIU
X0VN;SAR5
X0VN;D1MJ
BPZ8;WIBS
BPZ8;KLON
BPZ8;EAKD
W7T2;B4JX
W7T2;NGEF
NBIB;UMPF
NBIB;QDVF
WMP6;PATZ
OYP0;PZQB
OYP0;WVKF
OYP0;QPTN
OYP0;HPYF
OYP0;YXRG
KURT;H4RA
KURT;H5GB
KURT;JIJZ
LTGU;H5GB
LTGU;WQPN
LTGU;EAKD
LTGU;H4RA
LTGU;ECRR
WERB;E4U3
WERB;HAWG
WERB;RVUI
WERB;X6IX
FUY6;CALH
FUY6;B8QL
WXYA;KQC9
WXYA;IGHU
WXYA;YSGI
WXYA;VIRN
AHHH;NCAN
MRRM;D4UX
T3HE;EEVI
T3HE;JSXT
T3HE;N2XI
T3HE;RUP1
XTVP;YJYB
RDW8;DNJ6
RDW8;JNYX
RDW8;WNB2
RDW8;XVFG
RDW8;PEJC
RDW8;CZXI
RDW8;W5VS
RDW8;NVJM
RDW8;COUR
RDW8;XBUE
RDW8;NRZZ
QTLV;QFXO
QTLV;B3SH
W6XH;T8S5
W6XH;EYMX
W6XH;E2MS
W6XH;UOUA
KBW9;DYOI
KBW9;ZULJ
KBW9;UIBD
KBW9;AANA
KBW9;GSMI
KBW9;ITEC
KBW9;V3QS
KBW9;NLNU
KBW9;ZAZC
KBW9;IEMF
KBW9;RLLT
KBW9;O3K7
KBW9;CFRO
KBW9;DIPE
KBW9;Q0LO
KBW9;WVP1
KBW9;UDKQ
KBW9;AOMR
KBW9;B3N2
KBW9;N7GM
KBW9;G5GC
KBW9;W4B4
KBW9;KRZA
KBW9;R6XZ
KBW9;TYW2
GNJ1;U0V8
GNJ1;HTDP
GNJ1;PKVO
GNJ1;C9NB
GNJ1;E1IK
GNJ1;GWYA
QVQ2;APEF
W2JJ;GGN0
MLON;PVLJ
FSD4;X8ZB
FSD4;BCFO
FSD4;YNM6
FSD4;B8Y4
FSD4;CEYR
FSD4;KGIW
FSD4;WKUY
FSD4;O5ZW
FSD4;CHRE
FSD4;KYYW
FSD4;XKIM
FSD4;ERZB
FSD4;VBQ0
FSD4;Y7D4
FSD4;RQEP
FSD4;YEHO
FSD4;XKR3
PFVJ;CBWD
PFVJ;B7LK
PFVJ;HDHR
PFVJ;R3AQ
PFVJ;T5RQ
PFVJ;LFZ2
RGLK;BQPB
UYP2;RLL4
UYP2;DQRK
UYP2;GQKQ
UYP2;UYMJ
UYP2;UJNM
UYP2;JBCR
UYP2;YOJS
VUIZ;QDTB
VUIZ;ZWPX
VUIZ;DBUV
VUIZ;R3IV
VUIZ;H4J9
VUIZ;O9SQ
VUIZ;HUC1
VUIZ;VMRM
VUIZ;E9NQ
VUIZ;MXHE
VUIZ;YQJU
B2T5;XZJ5
FMMU;X2JI
FMMU;TEH0
FMMU;GSY8
IECN;AJW7
IECN;UGFM
IECN;XYDT
IECN;BINF
WSD6;HCVP
XXTF;TFQU
XXTF;O1BV
MPLH;U0A7
MPLH;SLQW
MPLH;EPFY
MPLH;WVDE
MPLH;U8JV
MPLH;S5CC
M0Z3;VZD8
DBUV;MXHE
VTRR;O8UB
VTRR;MOCK
CZXI;COUR
CZXI;S6MU
CZXI;AFD1
CZXI;G0T8
CZXI;PEJC
CZXI;VCAK
CZXI;FBTY
CZXI;DWN8
CZXI;L4DO
CZXI;Q7EZ
CZXI;Z3LG
CZXI;Y3UJ
CZXI;GXCH
CZXI;DNJ6
CZXI;EUQ6
CZXI;O3S5
CZXI;W6GJ
CZXI;ITM0
CZXI;QIET
CZXI;J7JG
CZXI;S2UA
CZXI;NFIV
CZXI;XVFG
CZXI;WNB2
CZXI;W5VS
CZXI;ZEKE
CZXI;RMMW
CZXI;JCPD
CZXI;IVDK
CZXI;D3JX
CZXI;MZBH
CZXI;U4KY
CZXI;NVJM
CZXI;NHZU
CZXI;OID0
CZXI;EZSF
CZXI;JNYX
CZXI;TBPO
CZXI;QREW
CZXI;NRZZ
CZXI;XBUE
CZXI;VFEW
CZXI;JXIU
CZXI;D1TD
CZXI;NIFP
CZXI;PVLJ
CZXI;MEMW
CZXI;S6GN
CZXI;C2GG
A8K7;FQZ2
A8K7;KRJ8
A8K7;ZUVV
A8K7;MMVG
XZJ5;Q5NL
XZJ5;BDDP
XZJ5;EHE2
I3F4;JSRU
I3F4;QVVN
Y6MG;H9AT
Y6MG;N0SA
N7WC;QJL4
JKIH;XIDG
JKIH;J0JR
JKIH;XKIM
SLQW;EPFY
SLQW;U0A7
SLQW;PRWN
SLQW;C7WW
SLQW;S5CC
SLQW;WVDE
SLQW;U8JV
SLQW;GISY
SLQW;HCVP
G9Y8;J8VJ
G9Y8;KXQG
G9Y8;IRU4
G9Y8;GGN0
G9Y8;QOIJ
G9Y8;KXDS
G9Y8;T8W6
G9Y8;L9TA
TUFK;BUW4
BZMY;S2GY
BZMY;IWDP
BZMY;XXJP
SBDN;O3WN
XUI0;ORBM
XUI0;UULX
JZTY;SYNV
E7E3;EVVW
E7E3;U2LA
E7E3;RPU6
E7E3;QLC4
E7E3;KUHW
E7E3;SGZ4
E7E3;QMIY
AABB;J8XS
IRZC;QJL4
IRZC;CIM6
GVL0;IHFX
GVL0;B7RG
GVL0;IYS3
GVL0;FEB0
GVL0;K7Z2
GVL0;H7YT
GVL0;BKD7
IHUV;ZWD6
IHUV;GLFZ
IHUV;KOP0
IHUV;U2IB
CNJB;SLEJ
AOGK;EHKM
N0SA;UKAE
N0SA;FSKQ
N0SA;XGQZ
N0SA;GSIX
N0SA;PTZ6
MAPV;S1H8
MAPV;JSRU
MAPV;RNUQ
PSKW;W6JA
PSKW;K8I1
PSKW;QDYA
PSKW;DJF2
PSKW;S6VB
PSKW;V0R5
PSKW;VGNC
PSKW;QMVP
PSKW;QTMI
PSKW;PMA5
PSKW;STS3
PSKW;K3HI
PSKW;O8UB
PSKW;MOCK
PSKW;RKY5
PSKW;DXZP
PSKW;VUB7
HCTX;C6ZC
HCTX;V2EB
X1HM;F0W0
X1HM;WVHW
X1HM;SGZ4
BLQ6;B4JX
BLQ6;HUB0
AXGH;FHBZ
AXGH;C7WW
YSAD;HHNO
YSAD;UGFM
SLEJ;F0U1
SLEJ;FTSA
SLEJ;SDRT
SLEJ;YKGU
D9G9;Y1ZR
OOS1;AZGW
DSKJ;HPTF
L8TX;WUE5
L8TX;EKUW
L8TX;Y1ZR
L8TX;RBUG
GSE4;VUBK
GSE4;UYL7
YJI1;R5VF
YJI1;V2HQ
ZAZC;B3N2
B4YD;PFPH
B4YD;VVDC
B4YD;VNLX
B4YD;BUPT
JZPT;DZVS
JZPT;ODLW
JZPT;P1B0
JZPT;S8H7
GWWU;GWHP
FLY8;QXI2
FLY8;ABMR
FLY8;TAZE
FLY8;E7OA
LPNQ;E9IX
LPNQ;UYL7
LPNQ;VUBK
TWNI;XFHV
W3KU;N2XI
MAN2;HBHH
MAN2;MQX6
MAN2;PGC2
SNH2;UTRK
SNH2;BEG6
KVMP;FUU0
R3IV;XGQZ
R3IV;YQJU
I6JO;ODY4
OQW2;G8FQ
OQW2;TTEX
OQW2;GAW3
OQW2;HAAG
OQW2;FMO9
OQW2;FMYD
KTM3;XSUD
KTM3;QDH9
KTM3;ASVW
KTM3;BEG6
KTM3;IFGM
KTM3;LDDO
KTM3;JXKG
KTM3;UTRK
KTM3;OFYU
G6DQ;XRIU
G6DQ;SAR5
SIX9;JECX
O1P2;FUU0
LXAJ;LFZ2
LXAJ;RSHN
LXAJ;NVYV
LXAJ;Y7UA
LXAJ;HDHR
S7OC;NPRS
S7OC;DEZM
BFS6;CDS4
BFS6;FCLC
BFS6;W2KS
BFS6;P7OA
BFS6;T7Z4
G9OR;VQB2
G9OR;W4B4
XUAS;IKLU
XUAS;BGMC
XUAS;VAQJ
XUAS;O7Z2
XUAS;LIVG
XUAS;HCVP
XUAS;NBC0
XUAS;J2PU
XUAS;L4I8
XUAS;KLA7
XUAS;KUHW
M6Z4;BKBF
KZKM;OVE9
KZKM;UGFM
B4JX;K6R9
B4JX;H7OC
FDU6;UYL7
STS3;LRJV
STS3;L8Z6
STS3;UMOG
JZHC;AUL9
MDDV;JXS1
U9OX;K7XD
O3EO;XGQZ
O3EO;QECM
O3EO;J3RP
O3EO;M1HL
O3EO;UFYW
P7OA;T7Z4
P7OA;W2KS
P7OA;R0JL
P7OA;FCLC
P7OA;CDS4
P7OA;YWX7
P7OA;SLEC
LEZG;WSTT
UFYW;GYDE
UFYW;J3RP
RBUG;UKBR
RBUG;B0AP
RBUG;KHA8
RBUG;HXRN
RBUG;Y1ZR
RBUG;S5SW
RBUG;QJUE
RBUG;P5J2
RBUG;XYDT
RBUG;MGQX
RBUG;WUE5
RBUG;Q7EM
KVKP;PNNJ
KVKP;YQKA
PZJT;M6QA
PZJT;KGIW
S5U9;BKBF
S5U9;IJIT
S5U9;GMO7
KKVH;V1XN
C0ZJ;PYIH
C0ZJ;L0BM
C0ZJ;S4OA
QDTB;E6PS
QDTB;YQJU
QDTB;E9NQ
QDTB;MWEN
XQAZ;YSXG
XQAZ;UKBR
XQAZ;Q2GZ
DWNG;UJCT
DWNG;D1MJ
DWNG;MUWW
DWNG;LES2
DWNG;SAR5
DWNG;XRIU
YSGI;N9BJ
YSGI;Z4KY
BLWE;KMFK
BLWE;UUIV
EARA;UGFM
EAL6;PYIC
SJQS;INQJ
SJQS;JECX
O9SQ;MXHE
GXCH;O3S5
GXCH;QREW
S1L0;U1VP
EXHD;QKTV
EXHD;OFU1
EXHD;WWAE
EXHD;E0GF
EXHD;F8CR
EXHD;MMFZ
MZMX;UULX
ULG7;G9VP
ULG7;NSF9
IPYG;Z0HZ
IXC5;ANZL
IXC5;SKU1
IXC5;XJDC
IXC5;OUY3
IXC5;MJCH
IFGM;T8S5
IFGM;UTRK
IFGM;JXKG
UXDS;O5JG
UXDS;JMG3
UXDS;GVJ1
ZABU;E6MO
ZABU;U2LA
ZABU;HCVP
ZABU;KUHW
ZABU;SGZ4
ZABU;B0ZM
D7WN;CLLP
WSWA;UYRJ
WSWA;GLFZ
QFXO;P1OI
QFXO;RPU6
QFXO;HCVP
QFXO;U2LA
QFXO;EXD1
QFXO;P1OX
QFXO;QLC4
JCCR;BNZW
JCCR;N2VY
JCCR;QYHO
JCCR;ALYN
JCCR;GZS0
JCCR;C8XL
JCCR;G7RL
JCCR;WNAP
LUCP;QTMI
LUCP;FBET
LUCP;Z7AN
G5GC;N7GM
G5GC;AOMR
FAXV;JTKE
SUGE;RKOK
SUGE;H0N2
SUGE;IMHL
SUGE;P9RG
SUGE;SOTP
SUGE;QCZN
BQN6;Y1ZR
KQC9;Z4KY
KQC9;N9BJ
KQC9;IADR
Q7R7;RMMJ
Q7R7;R5W3
Q7R7;YFBY
G2LB;YJYB
ULOB;QTWY
ULOB;NSF9
ULOB;R9WX
ULOB;IVSD
ULOB;XQJD
ULOB;TTQQ
GASN;VCF5
GASN;J5WG
GASN;NCAN
GASN;EGCP
BQTJ;HHNO
BQTJ;UGFM
TWGV;UCVS
ALLV;VUBK
V2EB;AMK7
V2EB;PPYT
V2EB;N3ZZ
V2EB;BUW4
MFG7;W5EZ
MFG7;TKLP
Q2R5;KSSP
WKUY;RQEP
WKUY;XKIM
D7NN;O5JG
D7NN;BINF
D7NN;AJW7
D7NN;HHNO
D7NN;UGFM
VRT0;X2JI
Z5V4;INQJ
Z5V4;AAJR
Z5V4;FPJS
Z5V4;AKM7
Z5V4;ZXVH
Z5V4;SEIC
Z5V4;HCDF
AJUQ;T5HB
AJUQ;PGEC
AJUQ;S4OA
AJUQ;F9JA
WQJG;CAEO
WQJG;O5K3
WQJG;IIMO
WQJG;DDFW
WQJG;K7G5
WQJG;RGFW
SZDY;PATZ
SZDY;STGC
USRH;UTRK
J8XS;S1H8
J8XS;D7TS
J8XS;N2XI
J8XS;VQBO
J8XS;AVN7
J8XS;ZWD6
J8XS;JSRU
NZJZ;RXVG
NZJZ;BCFO
U1QJ;QIHY
U1QJ;ERZB
U1QJ;XKIM
U1QJ;XIDG
M4YD;Z4KY
PATZ;QTW8
PATZ;STGC
Y4ML;U1VP
Y4ML;A3XQ
QPHJ;Y3UJ
NLQ4;ALYN
NLQ4;Q6LD
NLQ4;CGZH
EPFY;U0A7
EPFY;WVDE
EPFY;S5CC
EPFY;U8JV
MAR5;ZKWF
CQP2;QOIJ
CQP2;L7ML
EMI1;FJWP
EMI1;GSY8
EMI1;K4NO
B3S7;D1O6
B3S7;XEDS
UIJ3;BTF9
W4QB;QKVG
AZHI;XZYF
VMH9;QBOS
VMH9;OGMN
VMH9;UUIV
VMH9;ERWW
VMH9;R5VF
YGSB;UDFY
UYKI;U1VP
KJXT;GWYA
JBCR;XKUX
JBCR;CIM6
JBCR;ABZM
JBCR;UYMJ
JBCR;YOJS
QFNN;PZQB
QFNN;UEL6
BCN9;ODY4
B6LY;HRXX
B6LY;C4YM
ODY4;YKGU
ODY4;KJAH
ODY4;NZWM
ODY4;QSVJ
ODY4;S6N8
ODY4;P7BH
ODY4;A5ME
ODY4;Q7X2
MRG2;OLUR
EXB9;FES8
EXB9;UDX0
EXB9;CHOU
XAAM;CLLP
XAAM;QOIJ
XAAM;ZRUM
UKBR;YSXG
UKBR;Q2GZ
CLTQ;F1SA
HGN5;MOCK
VUB7;W6JA
VUB7;A2CK
VUB7;QTMI
VUB7;PMA5
VUB7;DJF2
VUB7;V0R5
VUB7;RKY5
VUB7;MOCK
VUB7;TCYA
VUB7;O8UB
UJNM;UYMJ
UJNM;YOJS
Q0GS;X2RY
POJT;ONLK
POJT;B0LU
OIT0;XYWN
OIT0;QEXK
KGIW;YKPT
KGIW;CEYR
KGIW;VBQ0
KGIW;B8Y4
KGIW;O5ZW
KGIW;ERZB
KGIW;F1SA
KGIW;X8ZB
LAGD;H2HJ
LAGD;BJUJ
ADM9;U1VP
V3QS;GSMI
V3QS;B3N2
V3QS;DYOI
X8ZB;F1SA
X8ZB;CEYR
X8ZB;ERZB
J7JG;O7ZN
J7JG;VAT4
J7JG;OKYE
J7JG;RWO0
W5ZX;HMIA
W5ZX;EBJ6
GZPH;BJM5
GZPH;ROSR
GZPH;VUBK
ATEY;YFBY
ABMR;YJYB
MWNJ;ENBP
MWNJ;J2OX
MWNJ;WBKV
N2VY;ALYN
MLZG;ILD2
AALZ;BEG6
X8AM;Y1ZR
GIP8;I5WJ
GIP8;QYLJ
HPTF;G0KC
AJZ9;JHBL
ENK5;AHFY
ENK5;IHFW
ENK5;RRCW
ENK5;DOGC
XGQZ;FSKQ
XGQZ;J3RP
XGQZ;ZMMS
YJYB;O9P3
YJYB;SZDH
YJYB;L1DK
YJYB;TMPA
YJYB;O0RD
YJYB;GZEG
YJYB;CMSS
YJYB;BUW4
YJYB;QXI2
YJYB;GJN6
C8FB;ZCCB
A1TS;TUST
UJCT;SAR5
UJCT;D1MJ
UJCT;MUWW
UJCT;XRIU
GQKQ;CIM6
